  STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24

  257,20010521,     ,     ,     ,     ,     ,     ,     ,     ,     ,  113,   32,    2,  167,   14,   25,    6,  139,     , 2677,     ,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   72,   99,    2,   47,   16,   41,
  257,20010522,     ,     ,     ,     ,     ,     ,     ,     ,     ,  133,   74,    1,  192,   15,   60,    6,  148,     , 2844,     ,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   71,   94,    4,   52,   14,   45,
  257,20010523,     ,     ,     ,     ,     ,     ,     ,     ,     ,  157,   83,    4,  223,   15,   77,    6,  148,     , 2864,     ,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   66,   95,    2,   39,   13,   48,
  257,20010524,     ,     ,     ,     ,     ,     ,     ,     ,     ,  144,  100,    5,  201,   12,   90,    6,  138,     , 2754,     ,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   74,   88,    4,   50,   11,   45,
  257,20010525,     ,     ,     ,     ,     ,     ,     ,     ,     ,  141,   42,    5,  206,   15,   37,    6,  148,     , 2947,     ,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   65,   95,    4,   33,   12,   48,
  257,20010526,     ,     ,     ,     ,     ,     ,     ,     ,     ,  143,  109,    1,  177,    8,   99,    6,   74,     , 2124,     ,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   72,   95,   24,   52,    7,   35,
  257,20010527,     ,     ,     ,     ,     ,     ,     ,     ,     ,  135,  116,    1,  144,   13,  117,    6,    2,     ,  895,     ,    2,    2,   10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   92,   97,    1,   87,   12,   14,
  257,20010528,     ,     ,     ,     ,     ,     ,     ,     ,     ,  146,  137,    4,  162,   15,  137,    6,   44,     , 1427,     ,   -1,   -1,    8,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   90,   94,    4,   84,   16,   23,
  257,20010529,     ,     ,     ,     ,     ,     ,     ,     ,     ,  147,  131,   24,  168,   14,  121,   24,  126,     , 2862,     ,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   82,   91,    2,   74,   13,   47,
  257,20010530,     ,     ,     ,     ,     ,     ,     ,     ,     ,  155,   90,    4,  198,   15,   72,    6,  142,     , 2830,     ,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   72,   95,    4,   51,   17,   47,
